"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,173,"PSE","Palestina",1,"Gaza","District","District",NA,NA
2,173,"PSE","Palestina",2,"West Bank","District","District",NA,NA
